Date,Not indexed,Indexed,Impressions
2025-11-12,,,6
2025-11-13,,,6
2025-11-14,,,4
2025-11-15,313,20,7
2025-11-16,291,20,5
2025-11-17,291,20,7
2025-11-18,291,20,6
2025-11-19,287,20,13
2025-11-20,287,20,6
2025-11-21,287,20,6
2025-11-22,287,20,10
2025-11-23,218,49,1
2025-11-24,218,49,1
2025-11-25,218,49,3
2025-11-26,218,49,5
2025-11-27,218,49,8
2025-11-28,218,49,5
2025-11-29,218,49,8
2025-11-30,218,49,10
2025-12-01,218,49,7
2025-12-02,218,49,13
2025-12-03,218,49,3
2025-12-04,218,49,9
2025-12-05,218,49,4
2025-12-06,218,49,1
2025-12-07,218,49,5
2025-12-08,218,49,4
2025-12-09,218,49,9
2025-12-10,218,49,11
2025-12-11,218,49,5
2025-12-12,218,49,11
2025-12-13,218,49,11
2025-12-14,218,49,10
2025-12-15,218,49,5
2025-12-16,214,51,9
2025-12-17,214,51,3
2025-12-18,214,51,4
2025-12-19,214,51,6
2025-12-20,214,51,9
2025-12-21,214,51,3
2025-12-22,214,51,2
2025-12-23,214,51,5
2025-12-24,215,33,3
2025-12-25,215,33,2
2025-12-26,215,33,6
2025-12-27,215,33,4
2025-12-28,215,33,6
2025-12-29,215,33,5
2025-12-30,215,33,11
2025-12-31,215,33,6
2026-01-01,215,33,16
2026-01-02,215,33,4
2026-01-03,215,33,15
2026-01-04,218,34,37
2026-01-05,218,34,29
2026-01-06,218,34,7
2026-01-07,212,39,18
2026-01-08,212,39,10
2026-01-09,212,39,8
2026-01-10,212,39,4
2026-01-11,205,41,34
2026-01-12,205,41,7
2026-01-13,205,41,7
2026-01-14,202,42,14
2026-01-15,202,42,16
2026-01-16,202,42,9
2026-01-17,202,42,14
2026-01-18,178,43,9
2026-01-19,178,43,23
2026-01-20,178,43,11
2026-01-21,190,47,14
2026-01-22,190,47,11
2026-01-23,190,47,20
2026-01-24,190,47,13
2026-01-25,190,45,7
2026-01-26,190,45,19
2026-01-27,190,45,19
2026-01-28,186,46,20
2026-01-29,186,46,13
2026-01-30,186,46,15
2026-01-31,186,46,8
2026-02-01,187,45,12
2026-02-02,187,45,17
2026-02-03,187,45,19
2026-02-04,199,47,13
2026-02-05,199,47,14
2026-02-06,199,47,9
2026-02-07,199,47,15
