Date,Clicks,Impressions,CTR,Position
2025-08-12,0,7,0%,9.3
2025-08-13,0,12,0%,22.7
2025-08-14,0,13,0%,12.5
2025-08-15,0,9,0%,16.8
2025-08-16,0,7,0%,19.7
2025-08-17,0,5,0%,8
2025-08-18,1,19,5.26%,36.7
2025-08-19,1,9,11.11%,14.9
2025-08-20,0,18,0%,1.9
2025-08-21,1,11,9.09%,8.4
2025-08-22,0,13,0%,13.1
2025-08-23,0,8,0%,41.1
2025-08-24,1,10,10%,16.4
2025-08-25,0,13,0%,13.5
2025-08-26,0,12,0%,8.9
2025-08-27,2,18,11.11%,2.1
2025-08-28,3,10,30%,16.6
2025-08-29,0,12,0%,23.1
2025-08-30,1,9,11.11%,20.4
2025-08-31,1,7,14.29%,5.3
2025-09-01,2,13,15.38%,10
2025-09-02,2,10,20%,12.7
2025-09-03,0,14,0%,19.5
2025-09-04,0,8,0%,15.5
2025-09-05,0,11,0%,22
2025-09-06,2,19,10.53%,26.5
2025-09-07,0,18,0%,9.7
2025-09-08,0,13,0%,6.8
2025-09-09,2,18,11.11%,2.8
2025-09-10,0,10,0%,15.8
2025-09-11,0,5,0%,6.4
2025-09-12,0,6,0%,6.5
2025-09-13,0,11,0%,16.6
2025-09-14,1,5,20%,8
2025-09-15,1,6,16.67%,7.7
2025-09-16,1,6,16.67%,10.3
2025-09-17,1,6,16.67%,4.5
2025-09-18,0,8,0%,11.1
2025-09-19,0,6,0%,13
2025-09-20,0,8,0%,27.9
2025-09-21,1,11,9.09%,8.5
2025-09-22,0,4,0%,4.2
2025-09-23,0,3,0%,3.3
2025-09-24,0,5,0%,14.4
2025-09-25,0,13,0%,7.3
2025-09-26,0,6,0%,13
2025-09-27,0,11,0%,22
2025-09-28,1,13,7.69%,18
2025-09-29,0,6,0%,12.2
2025-09-30,2,11,18.18%,7.9
2025-10-01,0,8,0%,5.1
2025-10-02,0,11,0%,8.1
2025-10-03,1,5,20%,4
2025-10-04,0,11,0%,27.1
2025-10-05,0,9,0%,7.6
2025-10-06,1,8,12.5%,9.1
2025-10-07,0,6,0%,4.2
2025-10-08,0,8,0%,4.5
2025-10-09,1,11,9.09%,13.2
2025-10-10,0,6,0%,10
2025-10-11,0,10,0%,18.9
2025-10-12,0,6,0%,4.2
2025-10-13,0,8,0%,27
2025-10-14,1,15,6.67%,14.3
2025-10-15,2,8,25%,9.6
2025-10-16,2,6,33.33%,4.8
2025-10-17,0,9,0%,7.1
2025-10-18,0,14,0%,7.3
2025-10-19,2,8,25%,8.9
2025-10-20,1,7,14.29%,5.9
2025-10-21,0,5,0%,7.6
2025-10-22,0,7,0%,10.1
2025-10-23,1,10,10%,8
2025-10-24,1,7,14.29%,8
2025-10-25,0,6,0%,11
2025-10-26,1,4,25%,4.8
2025-10-27,2,8,25%,4.8
2025-10-28,0,7,0%,15
2025-10-29,0,3,0%,13.7
2025-10-30,0,6,0%,10.3
2025-10-31,0,5,0%,10
2025-11-01,0,11,0%,32.1
2025-11-02,0,4,0%,9
2025-11-03,0,7,0%,16.6
2025-11-04,0,7,0%,11
2025-11-05,1,8,12.5%,9.2
2025-11-06,2,17,11.76%,6.5
2025-11-07,0,3,0%,11
2025-11-08,1,6,16.67%,12.3
2025-11-09,0,7,0%,10
2025-11-10,0,5,0%,9
2025-11-11,1,14,7.14%,9.5
2025-11-12,0,6,0%,7.2
2025-11-13,0,6,0%,5.8
2025-11-14,0,4,0%,5.8
2025-11-15,0,7,0%,10.6
2025-11-16,1,5,20%,3
2025-11-17,0,7,0%,25.4
2025-11-18,0,6,0%,3.8
2025-11-19,1,13,7.69%,23.5
2025-11-20,0,6,0%,18.7
2025-11-21,0,6,0%,8.3
2025-11-22,2,10,20%,3.7
2025-11-23,0,1,0%,4
2025-11-24,0,1,0%,3
2025-11-25,0,3,0%,31
2025-11-26,0,5,0%,4.6
2025-11-27,0,8,0%,6.9
2025-11-28,0,5,0%,3.6
2025-11-29,0,8,0%,19.8
2025-11-30,0,10,0%,3.4
2025-12-01,0,7,0%,14.4
2025-12-02,0,13,0%,4.6
2025-12-03,0,3,0%,3.3
2025-12-04,0,9,0%,6.1
2025-12-05,1,4,25%,4
2025-12-06,0,1,0%,2
2025-12-07,0,5,0%,4.6
2025-12-08,0,4,0%,3
2025-12-09,1,9,11.11%,2.7
2025-12-10,0,11,0%,2.6
2025-12-11,0,5,0%,4
2025-12-12,0,11,0%,2.5
2025-12-13,1,11,9.09%,10.3
2025-12-14,0,10,0%,5.2
2025-12-15,0,5,0%,2
2025-12-16,0,9,0%,5.6
2025-12-17,0,3,0%,1.3
2025-12-18,0,4,0%,3.5
2025-12-19,0,6,0%,4.7
2025-12-20,0,9,0%,4.3
2025-12-21,1,3,33.33%,1.3
2025-12-22,1,2,50%,1.5
2025-12-23,1,5,20%,3.8
2025-12-24,0,3,0%,2.7
2025-12-25,0,2,0%,6.5
2025-12-26,0,6,0%,4.7
2025-12-27,0,4,0%,2.5
2025-12-28,0,6,0%,4.8
2025-12-29,0,5,0%,59
2025-12-30,0,11,0%,6.4
2025-12-31,0,6,0%,3.3
2026-01-01,0,16,0%,2.3
2026-01-02,0,4,0%,3
2026-01-03,0,15,0%,2.6
2026-01-04,0,37,0%,1.2
2026-01-05,0,29,0%,3.6
2026-01-06,1,7,14.29%,6.6
2026-01-07,1,18,5.56%,4.5
2026-01-08,0,10,0%,5.5
2026-01-09,0,8,0%,4.5
2026-01-10,0,4,0%,8
2026-01-11,3,34,8.82%,4.6
2026-01-12,0,7,0%,5.6
2026-01-13,0,7,0%,5.3
2026-01-14,0,14,0%,5.4
2026-01-15,0,16,0%,10.2
2026-01-16,0,9,0%,13.8
2026-01-17,0,14,0%,7.4
2026-01-18,1,9,11.11%,6.3
2026-01-19,0,23,0%,7.6
2026-01-20,0,11,0%,7
2026-01-21,0,14,0%,9.2
2026-01-22,0,11,0%,10
2026-01-23,2,20,10%,6.4
2026-01-24,0,13,0%,10.2
2026-01-25,0,7,0%,10.7
2026-01-26,0,19,0%,6.1
2026-01-27,1,19,5.26%,10.6
2026-01-28,1,20,5%,5
2026-01-29,2,13,15.38%,3.6
2026-01-30,0,15,0%,11.4
2026-01-31,0,8,0%,10.9
2026-02-01,2,12,16.67%,5.8
2026-02-02,1,17,5.88%,14.6
2026-02-03,0,19,0%,5.8
2026-02-04,0,13,0%,7.5
2026-02-05,0,14,0%,16.4
2026-02-06,0,9,0%,20.1
2026-02-07,0,15,0%,52.4
2026-02-08,2,14,14.29%,8.9
2026-02-09,0,16,0%,40.5
2026-02-10,2,12,16.67%,28.8
2026-02-11,1,25,4%,47
2026-02-12,0,15,0%,32.2
2026-02-13,0,22,0%,17.2
2026-02-14,0,6,0%,6.2
2026-02-15,0,20,0%,4
2026-02-16,0,16,0%,13.6
2026-02-17,0,28,0%,17.6
