Country,Clicks,Impressions,CTR,Position
Australia,67,3654,1.83%,56.08
India,7,58,12.07%,13.78
Indonesia,4,10,40%,4.9
Philippines,3,21,14.29%,11.76
Ethiopia,2,11,18.18%,2.64
New Zealand,1,150,0.67%,76.5
France,1,18,5.56%,7.11
Pakistan,1,15,6.67%,8.73
Hong Kong,1,6,16.67%,5.67
Bangladesh,1,6,16.67%,12.17
United Arab Emirates,1,6,16.67%,21.33
Taiwan,1,4,25%,7
Norway,1,1,100%,6
United States,0,712,0%,13.15
Canada,0,77,0%,21.27
Singapore,0,65,0%,44.8
United Kingdom,0,65,0%,46.63
Brazil,0,26,0%,13.92
Germany,0,21,0%,11.76
China,0,16,0%,8.06
Vietnam,0,14,0%,25.57
Mexico,0,11,0%,8.27
Switzerland,0,9,0%,6.33
Spain,0,9,0%,15.11
Ecuador,0,8,0%,5
Italy,0,8,0%,12.62
Russia,0,8,0%,20.88
Ukraine,0,7,0%,8.57
Argentina,0,7,0%,9.29
Thailand,0,7,0%,29.57
Belgium,0,6,0%,7.67
Turkey,0,6,0%,9.33
Morocco,0,6,0%,14.67
Netherlands,0,6,0%,19.17
Israel,0,6,0%,32.17
South Africa,0,6,0%,32.83
Japan,0,5,0%,4.6
Saudi Arabia,0,5,0%,5
Lithuania,0,5,0%,5.6
Malaysia,0,5,0%,5.6
Poland,0,5,0%,20.8
Egypt,0,4,0%,6.75
Ireland,0,4,0%,7.75
Nigeria,0,4,0%,9.5
Colombia,0,4,0%,10
Austria,0,4,0%,21.75
Algeria,0,4,0%,24.25
Portugal,0,3,0%,4.67
Czechia,0,3,0%,5
Kenya,0,3,0%,5
Venezuela,0,3,0%,5
Chile,0,3,0%,6.33
South Korea,0,3,0%,8
Nepal,0,3,0%,9
Kazakhstan,0,3,0%,9.67
Denmark,0,3,0%,11.33
Ghana,0,3,0%,22.33
Croatia,0,2,0%,6
Serbia,0,2,0%,6
Iran,0,2,0%,6.5
Sweden,0,2,0%,6.5
Uruguay,0,2,0%,7.5
Romania,0,2,0%,10
Unknown Region,0,2,0%,10.5
Gabon,0,1,0%,1
Senegal,0,1,0%,1
Uganda,0,1,0%,1
Paraguay,0,1,0%,2
Slovenia,0,1,0%,2
Benin,0,1,0%,4
Bosnia & Herzegovina,0,1,0%,4
Estonia,0,1,0%,4
Panama,0,1,0%,4
Congo - Kinshasa,0,1,0%,5
Hungary,0,1,0%,5
Costa Rica,0,1,0%,6
Finland,0,1,0%,6
Slovakia,0,1,0%,6
Uzbekistan,0,1,0%,7
Cambodia,0,1,0%,8
Mongolia,0,1,0%,9
Cuba,0,1,0%,10
Suriname,0,1,0%,10
Kyrgyzstan,0,1,0%,11
Mauritius,0,1,0%,11
Peru,0,1,0%,20
Dominican Republic,0,1,0%,30
Honduras,0,1,0%,31
Bahamas,0,1,0%,36
