# ----------------------------------------
# Google organic search traffic: Landing page + query string
# Account: Tech Horizon Labs
# Property: techhorizonlabs.com
# ----------------------------------------
# 
# All Users
# Start date: 20260107
# End date: 20260203
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click-through-rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/,13,209,0.06220095693779904,4.440191387559809,7,7,0.875,43.857142857142854,57,0,0
/about,0,17,0,6.823529411764706,0,0,0,0,0,0,0
/about-us/,0,36,0,4.972222222222222,0,0,0,0,0,0,0
/agents,0,42,0,9.880952380952381,0,0,0,0,0,0,0
/ai-consultants-reveal-the-truth-about-privacy-in-the-age-of-artificial-intelligence/,0,11,0,6.7272727272727275,0,0,0,0,0,0,0
/ai-workshop-business-sunshine-coast/,0,58,0,8.068965517241379,0,0,0,0,0,0,0
/blog/,0,12,0,4,0,0,0,0,0,0,0
/book-here/,0,6,0,6,0,0,0,0,0,0,0
/calendar,0,9,0,4.222222222222222,0,0,0,0,0,0,0
/contact,0,1,0,3,0,0,0,0,0,0,0
/contact-us/,0,23,0,2.9565217391304346,1,0,0,0,4,0,0
/dashboard,0,2,0,4.5,0,0,0,0,0,0,0
/digital-team,0,33,0,10.454545454545455,0,0,0,0,0,0,0
/for-business/,0,22,0,2.5,0,0,0,0,0,0,0
/free-resources,0,10,0,9.1,0,0,0,0,0,0,0
/how-it-works,0,2,0,8.5,0,0,0,0,0,0,0
/links,0,17,0,7.9411764705882355,0,0,0,0,0,0,0
/login,0,17,0,4.0588235294117645,0,0,0,0,0,0,0
/master-ai-brain-dumping-sunshine-coast-ai-consultants-2025-guide/,0,5,0,8.6,0,0,0,0,0,0,0
/membership,0,21,0,5.904761904761905,0,0,0,0,0,0,0
/my-stack,0,1,0,1,0,0,0,0,0,0,0
/navigating-the-ai-hype-cycle-turning-ai-potential-into-business-reality/,0,10,0,7,0,0,0,0,0,0,0
/portal,0,1,0,5,0,0,0,0,0,0,0
/portfolio/,0,22,0,2.090909090909091,0,0,0,0,2,0,0
/privacy-policy/,0,5,0,5.8,0,0,0,0,0,0,0
/recordings,0,4,0,7,0,0,0,0,0,0,0
/resources,0,1,0,5,0,0,0,0,0,0,0
/resources/,0,16,0,2.875,0,0,0,0,0,0,0
/starter-kits,0,13,0,8.615384615384615,0,0,0,0,0,0,0
/tag/ai-business-training-sunshine-coast/,0,21,0,59.142857142857146,0,0,0,0,0,0,0
/terms-of-service/,0,9,0,15.222222222222221,0,0,0,0,0,0,0
/tools,0,1,0,3,0,0,0,0,0,0,0
/unctad-2025-ai-report-australia-guide/,0,10,0,2.4,0,0,0,0,0,0,0
/why-your-sunshine-coast-business-needs-a-no-nonsense-ai-consultant-in-2025-breaking-down-the-latest-ai-revolution/,0,9,0,6.777777777777778,0,0,0,0,0,0,0
/wiki,0,33,0,7.636363636363637,0,0,0,0,0,0,0
/workshops,0,16,0,5.5,0,0,0,0,0,0,0
/workshops/30n16hnqje2v9uvv29hblkq47a_20260310T230000Z,0,1,0,9,0,0,0,0,0,0,0
/your-enterprise-ai-tools-are-probably-overkill-heres-what-queensland-businesses-actually-need/,0,11,0,6.909090909090909,0,0,0,0,0,0,0
