GBP Local Ranking Tracker,,,,,,,,,,,,,,,
Purpose: Measure which GBP cleanup changes (description / categories / service areas / hours / services / posts / Q&A / photos) actually moved local pack rankings.,,,,,,,,,,,,,,,
How to use: 1) Import this CSV into Google Sheets (File > Import > Upload). 2) Fill the Baseline column BEFORE applying any GBP changes. 3) Log each GBP change in the 'GBP Changes Log' rows below with the date applied. 4) Re-check rankings every Friday for 12 weeks and enter the position (1-3 = in local pack / top three; 4-20 = visible but not in pack; blank or 21+ = not ranking). 5) Compare Week 12 vs Baseline to see which keywords moved.,,,,,,,,,,,,,,,
Position scoring: 1 = top of local pack | 2-3 = local pack | 4-10 = page 1 organic only | 11-20 = page 2 | blank = not in top 20,,,,,,,,,,,,,,,
Capture method: see 'GBP Snapshot Capture Checklist' in section 2.9 of the SEO manual actions guide.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Keyword,Priority,Geo,Baseline (pre-cleanup),Baseline date,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Delta (Wk12 - Baseline),Notes
ai consultant queensland,High,QLD,,,,,,,,,,,,,,,,
ai consultant sunshine coast,High,Sunshine Coast,,,,,,,,,,,,,,,,
ai consultant brisbane,High,Brisbane,,,,,,,,,,,,,,,,
ai consultant noosa,High,Noosa,,,,,,,,,,,,,,,,
ai consultant gold coast,High,Gold Coast,,,,,,,,,,,,,,,,
ai consulting australia,High,National,,,,,,,,,,,,,,,,
ai implementation australia,High,National,,,,,,,,,,,,,,,,
ai for small business australia,High,National,,,,,,,,,,,,,,,,
ai training sunshine coast,Medium,Sunshine Coast,,,,,,,,,,,,,,,,
ai training brisbane,Medium,Brisbane,,,,,,,,,,,,,,,,
ai workshop queensland,Medium,QLD,,,,,,,,,,,,,,,,
ai for law firms australia,Medium,National,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GBP Changes Log,,,,,,,,,,,,,,,
Change,Date applied,Notes,,,,,,,,,,,,,,
2.1 Description rewritten,,,,,,,,,,,,,,,,
2.2 Categories fixed (primary + secondary),,,,,,,,,,,,,,,,
2.3 Service areas updated,,,,,,,,,,,,,,,,
2.4 Hours corrected (incl. special hours),,,,,,,,,,,,,,,,
2.5 Services catalogue published,,,,,,,,,,,,,,,,
2.6 First GBP post published,,,,,,,,,,,,,,,,
2.7 Q&A seeded (owner-answered),,,,,,,,,,,,,,,,
2.8 Photo upload batch 1 (15+ real photos),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12-Week Review (fill in at end of week 12),,,,,,,,,,,,,,,
Question,Answer,,,,,,,,,,,,,,,
How many keywords moved into the local pack (positions 1-3)?,,,,,,,,,,,,,,,,
How many keywords improved by 5+ positions?,,,,,,,,,,,,,,,,
Which single GBP change correlated with the biggest jump? (look at the date column),,,,,,,,,,,,,,,,
Which keywords did not move - do they need a different intervention (content / backlinks)?,,,,,,,,,,,,,,,,
Next quarter focus (based on the above),,,,,,,,,,,,,,,,
